i,j,ba,mcc,auc,Sensitivity,Specificity,f1,pos_LR,ppv,average_precision_score
15,11,0.5081852482960078,0.022305025227542716,0.42072379097695556,0.8481012658227848,0.16826923076923078,0.25089605734767023,1.019682446769591,0.49295774647887325,0.42034321094840965
15,14,0.7297532362459547,0.4661151369446477,0.7724312297734628,0.6553398058252428,0.8041666666666667,0.7658730158730159,3.346416029745921,0.7310606060606061,0.7382786413412374
15,15,0.9870723616006636,0.9545368001712026,0.9992883459066332,0.9901098901098901,0.9840348330914369,0.9603399433427763,62.0168831168833,0.9377593360995851,0.9957539377924044
15,16,0.5059897468089558,0.04193480928547109,0.3565076375810839,0.9872881355932204,0.024691358024691357,0.046511627906976744,1.0122827719373526,0.4,0.2267691260876365
16,3,0.5076338361431529,0.078862916252253,0.4130745341614907,0.9982608695652174,0.017006802721088437,0.0333889816360601,1.0155318188656537,0.9090909090909091,0.4596321683714777
16,5,0.5308477046393004,0.08194270613632042,0.41814427981539953,0.17039106145251395,0.8913043478260869,0.5085271317829458,1.567597765363128,0.3557483731019523,0.2831879398775908
16,6,0.5324978912040776,0.10203203570925422,0.4569356951847664,0.1490066225165563,0.9159891598915989,0.7012448132780082,1.7736594744712666,0.5680672268907563,0.49358220009572895
16,7,0.5752510825700798,0.14706828272632658,0.5734115803572589,0.8380782918149466,0.31242387332521315,0.45681211041852177,1.2188880027990632,0.8493377483443708,0.8081055836198139
16,8,0.6010167481415059,0.202931759914903,0.6296136935581846,0.4088397790055249,0.7931937172774869,0.5444743935309972,1.9769214630393732,0.41450068399452805,0.4481236819811276
16,11,0.6066415124959429,0.22829512923772605,0.6259534242129179,0.7805907172995781,0.4326923076923077,0.5142857142857142,1.3759565186297649,0.6338028169014085,0.6430473255807063
16,14,0.5,0.0,0.4116909385113269,1.0,0.0,0.0,1.0,0.0,0.47235546091941266
16,15,0.5,0.0,0.35481905612529707,1.0,0.0,0.0,1.0,0.0,0.09427255552889635
16,16,0.9708882611424984,0.9343280681153321,0.9936179116970076,0.9788135593220338,0.9629629629629629,0.9512195121951219,26.427966101694874,0.9397590361445783,0.9786208482584012
